file,speaker,chapter,utt_id,seconds,text,cleaned_text
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\84\121550\84-121550-0007.flac,84,121550,7,9.525,"By his default, short while he sojourned here. By his default, to weeping and to toil, he changed his innocent laughter and sweet play.","by his default, short while he sojourned here. by his default, to weeping and to toil, he changed his innocent laughter and sweet play."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1993\147965\1993-147965-0007.flac,1993,147965,7,7.57,"His face had a look of weariness and pleasure, like that of sick people, when they feel relief from pain.","his face had a look of weariness and pleasure, that of sick people, when they feel relief from pain."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1462\170142\1462-170142-0001.flac,1462,170142,1,9.585,"Emerging at Houston at half past three o'clock in the afternoon, Alexander had his luggage sent to the Savoy and drove it once to Bedford Square.","emerging at houston at half past three o'clock in the afternoon, alexander had his luggage sent to the savoy and drove it once to bedford square."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\3081\166546\3081-166546-0020.flac,3081,166546,20,5.34,He wants me to stand ready to obey any summons the police may send me.,he wants me to stand ready to obey any summons the police may send me.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2803\161169\2803-161169-0000.flac,2803,161169,0,11.7,"Once, there was a father who thought he would build for his children a beautiful home, putting into it everything they could need or desire throughout their lives.","once, there was a father who thought he would build for his children a beautiful home, putting into it everything they could need or desire throughout their lives."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\251\136532\251-136532-0001.flac,251,136532,1,6.855,"Bill Chandler, the zoologist, had been going deeper and deeper into the old sea-bottom of Sirtec.","bill chandler, the zoologist, had been going deeper and deeper into the old sea-bottom of sirtec."
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\2078\142845\2078-142845-0029.flac,2078,142845,29,4.87,to make hot butter toast 1726.,to make hot butter toast 1726.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1993\147149\1993-147149-0012.flac,1993,147149,12,5.28,Her cries brought her husband down to try with his aching heart to comfort hers.,her cries brought her husband down to try with his aching heart to comfort hers.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\652\130726\652-130726-0007.flac,652,130726,7,4.85,The poodle dog has a hotel attachment where one may get rooms or full apartments.,the poodle dog has a hotel attachment where one may get rooms or full apartments.
C:\Users\shuwu\OneDrive\Desktop\MLDS\text_analytics\LibriSpeech\dev-clean\1988\147956\1988-147956-0024.flac,1988,147956,24,3.085,She got up on her knees and rung her hands.,she got up on her knees and rung her hands.
